group,method,model_pair,method_name,implementation,target_verify_mode,temperature,top_k,top_p,sampling_filter,stochastic_seed,seed_strategy,rtt_ms,method_time,speedup_vs_target_only,prefill_percent,draft_generation_percent,draft_structure_percent,uplink_transfer_percent,network_wait_percent,cloud_verification_percent,downlink_transfer_percent,posterior_accept_percent,cache_update_percent,probability_normalize_percent,random_sample_percent,accept_reject_percent,resample_percent,sampling_argmax_percent
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.952108547091484,1.0,3.056118793663769,0.0,0.0,0.0,0.0,93.48946942153762,0.0,0.0,0.4260416747039496,1.8063982172730604,0.9067183632101664,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9761549457907676,1.0,4.094655279071192,0.0,0.0,0.0,0.0,92.23608670180263,0.0,0.0,0.5544565530999014,1.8738691521949264,0.9319399112326292,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9313504695892334,1.0,2.9135523332805104,0.0,0.0,0.0,0.0,93.78444156840614,0.0,0.0,0.3484639628073815,1.8681140462480776,0.786776234478221,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,1.25751412846148,1.0,3.6947199218763696,0.0,0.0,0.0,0.0,92.8223631187713,0.0,0.0,0.3953473605097224,1.8725813741159347,0.9254405862073446,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9571876004338264,1.0,2.91887437019613,0.0,0.0,0.0,0.0,92.73071811349354,0.0,0.0,0.4250624136263013,2.820569527672446,0.7775196445251709,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9851565752178432,1.0,2.888973690582765,0.0,0.0,0.0,0.0,93.4578500453096,0.0,0.0,0.626141812621054,1.90796210569169,0.8155451751262169,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.935472384095192,1.0,2.869848261241193,0.0,0.0,0.0,0.0,93.56142535542708,0.0,0.0,0.5461084369201591,1.8908453260160447,0.8063271481414508,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9713849276304244,1.0,2.7060765236662183,0.0,0.0,0.0,0.0,93.46029234525412,0.0,0.0,0.4592084047166543,2.026288700840494,1.030001608104757,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9912082776427268,1.0,4.082913761234474,0.0,0.0,0.0,0.0,92.20173664577828,0.0,0.0,0.4638720026800149,2.112922137129478,0.828949094385803,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9327530656009912,1.0,3.9572625318109145,0.0,0.0,0.0,0.0,92.27267420242391,0.0,0.0,0.5719816487710754,2.023155477695676,0.8734478033898344,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,1.3460441455245018,1.0,2.7940036771339325,0.0,0.0,0.0,0.0,92.7187210737305,0.0,0.0,0.5660785958332449,2.5446790880303496,1.0709935843139764,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,1.0139182601124048,1.0,3.926935098177691,0.0,0.0,0.0,0.0,92.22382508553368,0.0,0.0,0.5208158916339249,2.120196147349461,0.8777851575375738,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9563081879168748,1.0,2.8241866439459278,0.0,0.0,0.0,0.0,93.65148770987372,0.0,0.0,0.4313697695483161,1.885993189874699,0.8779627298434057,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9544175527989864,1.0,2.807868161778024,0.0,0.0,0.0,0.0,92.12579995907954,0.0,0.0,0.68920974638394,2.88087786397063,1.190470851445144,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.926321839913726,1.0,2.9170587410760893,0.0,0.0,0.0,0.0,93.58092297877266,0.0,0.0,0.3179232884615443,1.9051229538906616,0.9700671737493112,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9653419144451618,1.0,3.02669994087993,0.0,0.0,0.0,0.0,93.59997329855024,0.0,0.0,0.3367073576791785,1.926563897085999,0.8009556998088504,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9584648478776217,1.0,2.852292378493414,0.0,0.0,0.0,0.0,93.1515333026436,0.0,0.0,0.3209133669419902,2.5458831071763632,0.8182228809125953,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9455852285027504,1.0,2.831828621110235,0.0,0.0,0.0,0.0,93.12315914658032,0.0,0.0,0.5972851317992826,2.2516438080528003,0.8914121506291046,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9461943227797748,1.0,4.222495624859071,0.0,0.0,0.0,0.0,92.4680885109954,0.0,0.0,0.3116821294734298,1.8517420095631356,0.8332005060417085,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9732606802135706,1.0,3.340298812925393,0.0,0.0,0.0,0.0,92.96364210728667,0.0,0.0,0.3277917104785363,2.2856400338968736,0.7709612756275177,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9423514101654292,1.0,2.929040544528735,0.0,0.0,0.0,0.0,93.71708682434156,0.0,0.0,0.3010645567886242,1.9429898768337628,0.8036368345614244,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,1.0634306203573942,1.0,3.907395943327172,0.0,0.0,0.0,0.0,92.66530360021898,0.0,0.0,0.4253268188217025,1.721896495726373,0.9220043445744032,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.929067261517048,1.0,3.1124836651431167,0.0,0.0,0.0,0.0,94.0824866075485,0.0,0.0,0.2188052640788159,1.594888219589869,0.6930017897661392,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,1.3383375499397516,1.0,3.018547846955697,0.0,0.0,0.0,0.0,93.61882690799028,0.0,0.0,0.2785039128945828,1.931972977675504,0.8473759390417634,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,1.135969432070851,1.0,2.4417004869792067,0.0,0.0,0.0,0.0,94.44231366789798,0.0,0.0,0.2452223567474795,1.7510302971731,0.8115692790358372,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9645480401813984,1.0,2.71033137778786,0.0,0.0,0.0,0.0,93.25477013374996,0.0,0.0,0.5198699424379177,2.2384177658290763,0.9667929099325994,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9449938833713531,1.0,3.027050741825601,0.0,0.0,0.0,0.0,93.35752886278992,0.0,0.0,0.5182196179203918,1.92940340757229,0.8618915016251104,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,0.9957734402269124,1.0,2.872021033898698,0.0,0.0,0.0,0.0,93.37591936068976,0.0,0.0,0.4410103037532807,1.8952038872222627,1.1003715391565396,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,1.1239293161779642,1.0,3.641977372751347,0.0,0.0,0.0,0.0,92.42707182466847,0.0,0.0,0.4510049127753486,2.2459356428522,0.9095323026986653,0.0,0.0,0.0
Qwen2.5-1.5B,target-only-sampling / kv-cache,qwen25-1p5b-local,target-only-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,1.1003812849521637,1.0,4.021538400975291,0.0,0.0,0.0,0.0,92.39600745005733,0.0,0.0,0.4762699102277744,1.9358716998492165,0.8517800744577786,0.0,0.0,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.633062897250056,0.1247347964909994,0.7403883911687701,24.727789728155656,0.0,0.0041084424983957,34.062342142322635,12.907074683530844,0.0021799898971073,0.0,23.816193422812884,2.073993822187701,0.6228054742699106,0.1534567569038422,0.0904060182767983,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.958273293450475,0.1226591384583546,0.8223704817444829,27.152362228733384,0.0,0.0040209727437138,32.67040354268501,12.621183957191494,0.0020909058267305,0.0,23.692686864102736,1.5238069468811206,0.5590428591401411,0.1678112389150877,0.0744476133583922,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.24508098885417,0.1285493524533435,0.8627631666369805,25.223935198846643,0.0,0.003975110843384,33.12592369487876,12.034454550755248,0.0021200591164708,0.0,25.110556549017755,1.947391936679695,0.714386127053893,0.1031844001904817,0.0544593046867128,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.820904791355133,0.1607888296826574,0.6329496023904146,25.41534174881242,0.0,0.0043370940965147,35.80148428727823,12.07109016530518,0.0022912949943845,0.0,22.95298367195436,1.6248211476881835,0.5539978747457874,0.1253836471732765,0.090267297734175,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.347689248621464,0.1302705609948609,0.6817272462393882,25.35132402969217,0.0,0.0042680084770696,35.385274363471446,12.038670905128493,0.0022646575592608,0.0,23.0925757708612,1.8427555143404253,0.6366821556098727,0.137917164387192,0.0741073103206806,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.882630007341504,0.1249781575819638,0.6551148007416042,26.95057195579506,0.0,0.0043031323261904,34.25252736060614,11.973824783520646,0.0021921617510775,0.0,23.00608260211976,1.5948127712039122,0.5925869584218835,0.1438668498091716,0.0940098187405924,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.415923211723566,0.1261437527584343,0.6994845973848983,24.813445704918323,0.0,0.0044444904645027,36.40814397500321,12.36554952916688,0.0023301212143988,0.0,22.205001548480467,1.8469057322693765,0.61515349483452,0.1281723862218682,0.0778809990198154,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.9682767651975155,0.1219065246168499,0.6730896606626984,25.898499425288502,0.0,0.0044978357373988,36.394318187667935,12.314648215306384,0.0023292363640094,0.0,21.405482410284595,1.7950952456672244,0.5433040354960297,0.1252453281784863,0.0857821385824952,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,6.903625389561057,0.1435779350283879,0.7367619168897453,25.1750416540368,0.0,0.0042180735999989,34.76434285714618,11.721759403878083,0.0022249179428559,0.0,24.2772479164283,1.72966209662935,0.5779338782015141,0.1597837483734044,0.0642235451479096,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.623375274240971,0.1223543420134019,0.6264271825028312,26.097597083794557,0.0,0.0041976157343475,34.10562784158452,11.79297799393017,0.00218276018186,0.0,24.35439631112323,1.4703202719871633,0.5749372427968942,0.139692388890383,0.1096730750881885,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.67291503213346,0.1754280009471489,0.7028595369945817,25.050082216666635,0.0,0.0045875654627446,37.79528364194136,11.775190128453223,0.0024188981530829,0.0,21.30560540819058,1.848220320718367,0.5556947152220605,0.1466855488621959,0.0757886490420144,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.162099216133356,0.1415671899418051,0.701265468941189,24.29830217815013,0.0,0.0044232841578943,36.30220584131583,12.278839354958452,0.0023233411738428,0.0,22.193598518102757,2.3668345122147296,0.7111381576917554,0.1907429619220641,0.0864312852007583,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.0232989601790905,0.1361622498684706,0.7139078101632066,25.56699858417784,0.0,0.0044195754980645,35.59580781303165,12.180764916723636,0.0022781317000326,0.0,22.78382863446952,1.618324256373337,0.5614029435687482,0.126940427440454,0.0883924747482641,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.854711502790451,0.1215089252431386,0.6272068401114745,26.533889223593977,0.0,0.0042776873457482,34.37427331405872,11.887943174866306,0.0021999534920984,0.0,22.807813219409383,2.082428512216876,0.6281404259835202,0.1254448539407376,0.0879282139683336,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,8.019807323813438,0.115504251225983,0.6219078662516698,25.29846595604592,0.0,0.0039103183821975,32.41973148506631,12.87953330946526,0.0020748628150429,0.0,24.84867117068243,2.264087054087993,0.6535262143986095,0.1340336606998285,0.0792025499940434,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.518631935119629,0.1283932931915495,0.6308868463351754,25.00697296109316,0.0,0.0043837762354123,35.91078833621663,12.007574266948271,0.0022982904535165,0.0,23.13507223328315,1.7327384685804803,0.5635633586057557,0.180952980485947,0.1074890526695879,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,6.773009745404124,0.1415123975759809,0.7531377978644263,24.853774570257272,0.0,0.0045356497561272,36.91121220807917,11.967098818044338,0.0023623175813155,0.0,22.758463085808472,1.3407673681443186,0.5101162800721778,0.1131842822921982,0.0550412087177982,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.3436812944710255,0.1287617464029479,0.9996313928044996,24.76394844638601,0.0,0.0042703378241101,35.40458655194513,11.956763606675736,0.0022658935393231,0.0,23.30023875962087,1.8702728157051265,0.6171154120929915,0.2325986242377636,0.0977447959754161,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.2945188116282225,0.1297130554069505,1.0415354454162162,24.89515622138727,0.0,0.0043429869492541,35.64320097242505,12.155102669572122,0.0022811648622338,0.0,22.521033815353377,2.222465741370524,0.5677174309210987,0.1044041513158325,0.0598743945303955,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,6.484620578587055,0.1500875291651429,0.7686196069018084,25.00084020695737,0.0,0.0041945399380508,33.92642596954164,11.213349861438266,0.0021712912620491,0.0,25.803430015085144,1.772589653282208,0.5827309626897996,0.1226067356424277,0.0825373000271961,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.474037671461701,0.1260833101983995,0.6847074227907419,25.06273209084245,0.0,0.0040245983927596,33.44912228026104,13.0501348643865,0.0021407438259353,0.0,24.691839990932387,1.5956628614529136,0.5406028152883219,0.1381657301979604,0.0732036289704114,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.07395576313138,0.1503304029550013,0.6845193162752378,24.866848516001344,0.0,0.0042522177134275,35.34090519804637,12.438931471134907,0.0022618179326735,0.0,23.137068214674866,1.8610992117253813,0.6371319739383863,0.1877702608964591,0.0745384747352069,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,6.949399700388312,0.1336902900354306,0.8426800375007235,24.884735331129743,0.0,0.0043284314180848,35.9743302699988,12.124984030961144,0.0023023571372784,0.0,22.95779734769145,1.715962225943923,0.5133814933738418,0.1382983393535713,0.0709433735359345,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.124714363366365,0.1878443796738258,1.044392287092571,24.285732841578294,0.0,0.0042219236401468,35.08912599857226,12.315118423525243,0.0022457040639072,0.0,23.918244415934986,1.7105264646006642,0.5755360080607197,0.213072612276487,0.1100300365127225,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,6.62373754568398,0.1714997649342323,1.088689151318999,23.98134491242553,0.0,0.0043479983621567,36.23331968465201,11.396968499760844,0.0023189324598162,0.0,23.87426345947673,1.878407580025227,0.5493595190059436,0.1781633312555532,0.0759110840522423,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.415041718631983,0.1300799208934659,0.646318178781081,25.172833670032286,0.0,0.004358707776219,35.06386206117905,12.022182303422756,0.0022440871719141,0.0,23.62652500889989,1.8963355962364283,0.5038497367923879,0.2385308295340075,0.0643240473287447,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,6.581669380888343,0.1435796647755353,0.743177363644347,24.975797308792703,0.0,0.0045702690699316,36.46491279201974,11.90329241425499,0.0023337544186877,0.0,22.96605483041936,1.4875522062205324,0.5256463288530266,0.1511928018643423,0.0645418305759875,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.193153060972691,0.1384335119503573,1.0554385656763563,25.103537898013613,0.0,0.004270727974171,34.75527322731456,12.022651067719488,0.0022243374865467,0.0,23.71074949370094,1.818570910007197,0.5516280891087164,0.1579942633531699,0.0874437744960517,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,6.91483941860497,0.1625387443060406,0.7012759209506229,26.333605723565483,0.0,0.0039335692925574,31.815633983931875,11.924505511011466,0.0020362005749701,0.0,25.52885615528057,2.0294493353393737,0.6684462196381233,0.1383902330834515,0.0707828058732438,0.0
Qwen2.5-1.5B,traditional-spec-sampling / kv-cache,qwen25-1p5b-local,traditional-spec-sampling,kv-cache,legacy,0.0,0.0,0.0,legacy,legacy,legacy,100.0,7.231474539265037,0.1521655478391547,0.70691157201282,24.97786766538509,0.0,0.0040268412537271,33.18825209116923,12.53063191133886,0.0021240481338334,0.0,25.45694109207383,1.5954570952325229,0.5189222217566044,0.1896496770079378,0.0865546159844758,0.0
