method,rtt_ms,method_time,rounds,uplink_transfer_time,network_wait_time,cloud_verify_time,downlink_transfer_time,edge_cloud_cycle_time,network_only_time,cloud_verify_share_of_cycle_percent,uplink_share_of_cycle_percent,wait_share_of_cycle_percent,downlink_share_of_cycle_percent,network_cycle_share_of_method_time_percent,cloud_verify_per_round_ms,network_wait_per_round_ms,upload_payload_bytes,downlink_payload_bytes,speedup_vs_target_only
dsd-adaptive-draft / kv-cache,0.0,2.8670806641379993,13.0,0.00011935999999997,0.0,1.0011089347923796,8.319999999999e-05,1.0013114947923796,0.00020255999999996,99.97977053084345,0.011920366501407148,0.0,0.00830910265513744,34.924427042356285,77.00837959941381,0.0,149.2,104.0,0.3143334379856785
dsd-adaptive-draft / kv-cache,5.0,2.9656594479456544,13.0,0.00011935999999997,0.065,1.0176898856336871,8.319999999999e-05,1.082892445633687,0.06520255999999996,93.97885170748933,0.011022331948222514,6.002442833735284,0.007683126827180239,36.51438962028559,78.28383735643747,5.0,149.2,104.0,0.30367855993005044
dsd-adaptive-draft / kv-cache,10.0,3.1025180236746865,13.0,0.00011935999999997,0.13,1.0546076456084847,8.319999999999e-05,1.1848102056084846,0.13020255999999994,89.01068210050305,0.010074187362242555,10.972221490380878,0.007022221753842917,38.18866470935666,81.12366504680651,10.0,149.2,104.0,0.2905847500571518
dsd-adaptive-draft / kv-cache,20.0,3.318767808439831,13.0,0.00011935999999997,0.26,1.078807051666081,8.319999999999e-05,1.339009611666081,0.26020255999999997,80.56753605552991,0.008914051023984413,19.417336345815432,0.0062135476306601906,40.3465891244605,82.98515782046776,20.0,149.2,104.0,0.2712215006066863
dsd-adaptive-draft / kv-cache,50.0,3.593086537408332,13.0,0.00011935999999997,0.6500000000000002,1.0280400443201263,8.319999999999e-05,1.6782426043201266,0.6502025600000002,61.256938756872756,0.007112201757523845,38.730991474460986,0.004957566908730408,46.707547587502056,79.08000340924049,50.000000000000014,149.2,104.0,0.25099981386872794
dsd-adaptive-draft / kv-cache,100.0,4.261643211605648,13.0,0.00011935999999997,1.3000000000000005,1.033543473171691,8.319999999999e-05,2.3337460331716917,1.3002025600000005,44.28688719684924,0.00511452395862257,55.704433195467615,0.0035650837245094977,54.76164749822904,79.50334409013007,100.00000000000003,149.2,104.0,0.2120904011013998
dsd-adaptive-draft / kv-cache,150.0,4.9433273122335475,13.0,0.00011935999999997,1.95,1.0605337282642722,8.319999999999e-05,3.010736288264272,1.95020256,35.225062135072726,0.0039644787378167404,64.76820994256524,0.002763443624215785,60.90505641439973,81.57951755879017,150.0,149.2,104.0,0.18293709466435937
dsd-adaptive-draft / kv-cache,200.0,5.63847526765118,13.0,0.00011935999999997,2.600000000000001,1.078278665492932,8.319999999999e-05,3.678481225492933,2.600202560000001,29.313148535872653,0.003244817430975884,70.68134484366138,0.0022618030349968914,65.23893518868405,82.94451273022553,200.00000000000006,149.2,104.0,0.160579755296206
target-only / kv-cache,0.0,0.8975890961786112,0.0,0.0,0.0,0.856148817576468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,5.0,0.8975890961786112,0.0,0.0,0.0,0.856148817576468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,10.0,0.8975890961786112,0.0,0.0,0.0,0.856148817576468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,20.0,0.8975890961786112,0.0,0.0,0.0,0.856148817576468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,50.0,0.8975890961786112,0.0,0.0,0.0,0.856148817576468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,100.0,0.8975890961786112,0.0,0.0,0.0,0.856148817576468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,150.0,0.8975890961786112,0.0,0.0,0.0,0.856148817576468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target-only / kv-cache,200.0,0.8975890961786112,0.0,0.0,0.0,0.856148817576468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
vanilla-spec / kv-cache,0.0,3.235548409074545,11.7,0.00014143999999996,0.0,1.192975003334383,7.488e-05,1.1931913233343832,0.00021631999999995998,99.98187046823341,0.011853924616607564,0.0,0.006275607149970486,36.8775605392864,101.96367549866522,0.0,176.8,93.6,0.2806785508645893
vanilla-spec / kv-cache,5.0,3.3131485202039284,11.7,0.00014143999999996,0.0585,1.2001984981199105,7.488e-05,1.2589148181199106,0.05871631999999996,95.33595767125148,0.011235073093443241,4.646859275782067,0.0059479798730010455,37.997536495660114,102.58106821537697,5.000000000000001,176.8,93.6,0.2735451654416193
vanilla-spec / kv-cache,10.0,3.3993950907761854,11.7,0.00014143999999996,0.117,1.209002530326446,7.488e-05,1.326218850326446,0.11721631999999997,91.16161559827418,0.010664906471895256,8.822073368298202,0.00564612695571085,39.013377819041025,103.33354960055095,10.000000000000002,176.8,93.6,0.2667569400189034
vanilla-spec / kv-cache,20.0,3.5846154015511273,11.7,0.00014143999999996,0.234,1.242020377020041,7.488e-05,1.4762366970200411,0.23421631999999998,84.1342299325851,0.009581119361513868,15.85111659074434,0.005072357309038189,41.18256860641861,106.1555877794907,20.000000000000004,176.8,93.6,0.25314095218535543
vanilla-spec / kv-cache,50.0,3.8746071797485153,11.7,0.00014143999999996,0.5850000000000002,1.2036686674381296,7.488e-05,1.7888849874381298,0.5852163200000001,67.28597287642896,0.007906601094714135,32.70193467483794,0.004185847638379255,46.169454203980465,102.87766388360083,50.000000000000014,176.8,93.6,0.2343698405274493
vanilla-spec / kv-cache,100.0,4.484762159983317,11.7,0.00014143999999996,1.1700000000000006,1.2084853936607638,7.488e-05,2.378701713660764,1.1702163200000006,50.80441094066116,0.005946100731658669,49.18649502292572,0.0031479356814672448,53.03964020401056,103.28934988553537,100.00000000000006,176.8,93.6,0.20292856106195584
vanilla-spec / kv-cache,150.0,5.068846382883688,11.7,0.00014143999999996,1.7549999999999997,1.2171076586470009,7.488e-05,2.9723239786470006,1.7552163199999997,40.9480146643041,0.004758566058614626,59.04470752878272,0.0025192408545613968,58.63906210856666,104.02629561085479,150.0,176.8,93.6,0.17938180730172884
vanilla-spec / kv-cache,200.0,5.713289935576419,11.7,0.00014143999999996,2.3400000000000007,1.2466442282001178,7.488e-05,3.586860548200119,2.340216320000001,34.755859935109044,0.0039432812650309025,65.23810916413267,0.002087619493252245,62.78099989053395,106.5507887350528,200.00000000000006,176.8,93.6,0.15914152013417743
