method_name,implementation,model_pair,rtt_ms,method_time,speedup_vs_target_only,prefill_time_share,draft_generate_time_share,draft_structure_time_share,uplink_transfer_time_share,network_wait_time_share,cloud_verify_time_share,downlink_transfer_time_share,posterior_accept_time_share,cache_update_time_share,sampling_time_share,prefill_time_percent,draft_generate_time_percent,draft_structure_time_percent,uplink_transfer_time_percent,network_wait_time_percent,cloud_verify_time_percent,downlink_transfer_time_percent,posterior_accept_time_percent,cache_update_time_percent,sampling_time_percent
dsd-adaptive-draft,kv-cache,smollm-local,0.0,2.8670806641379993,0.3143334379856785,0.01879623674480447,0.20757920519054687,0.0,4.163119701965418e-05,0.0,0.3491736201615965,2.901906494667964e-05,3.357019703006406e-05,0.41501588528669503,0.004181487664994539,1.8796236744804469,20.757920519054686,0.0,0.004163119701965418,0.0,34.91736201615965,0.0029019064946679642,0.0033570197030064063,41.5015885286695,0.41814876649945387
dsd-adaptive-draft,kv-cache,smollm-local,5.0,2.9656594479456544,0.30367855993005044,0.01789791455102533,0.19926124790815733,0.0,4.0247372328151847e-05,0.02191755363045013,0.3431580407314307,2.8054468646972794e-05,3.548365441656533e-05,0.4077526226156475,0.004084421993531622,1.7897914551025331,19.926124790815734,0.0,0.004024737232815184,2.191755363045013,34.31580407314307,0.0028054468646972796,0.003548365441656533,40.77526226156475,0.40844219935316217
dsd-adaptive-draft,kv-cache,smollm-local,10.0,3.1025180236746865,0.2905847500571518,0.017350394962706912,0.1926038280703102,0.0,3.8471976339591915e-05,0.04190144876129529,0.33991990942872446,2.681692720722576e-05,3.953479635413025e-05,0.3981936970288803,0.004057702986547164,1.7350394962706912,19.26038280703102,0.0,0.0038471976339591917,4.190144876129529,33.99199094287245,0.002681692720722576,0.0039534796354130245,39.81936970288803,0.4057702986547164
dsd-adaptive-draft,kv-cache,smollm-local,20.0,3.318767808439831,0.2712215006066863,0.01613090118098446,0.1810883955303138,0.0,3.596515540991755e-05,0.07834232914360685,0.3250625274002623,2.506954532595118e-05,7.304672782501277e-05,0.3893340486340735,0.003944853577112672,1.613090118098446,18.10883955303138,0.0,0.003596515540991755,7.834232914360685,32.506252740026234,0.0025069545325951182,0.007304672782501277,38.93340486340735,0.3944853577112672
dsd-adaptive-draft,kv-cache,smollm-local,50.0,3.593086537408332,0.25099981386872794,0.01545617132526337,0.16698564552538236,0.0,3.321935020414608e-05,0.18090296274045228,0.2861161382051333,2.3155579230775104e-05,3.545593309177889e-05,0.3419776576377291,0.003302080068210229,1.545617132526337,16.698564552538237,0.0,0.0033219350204146078,18.09029627404523,28.61161382051333,0.0023155579230775105,0.003545593309177889,34.19776576377291,0.3302080068210229
dsd-adaptive-draft,kv-cache,smollm-local,100.0,4.261643211605648,0.2120904011013998,0.013547963697941942,0.14167968870486025,0.0,2.800797581433361e-05,0.30504665347388454,0.24252229054676908,1.9522985822326258e-05,3.192487916554509e-05,0.2897913387799502,0.002753102571927614,1.3547963697941943,14.167968870486025,0.0,0.0028007975814333614,30.504665347388453,24.252229054676906,0.0019522985822326257,0.003192487916554509,28.97913387799502,0.2753102571927614
dsd-adaptive-draft,kv-cache,smollm-local,150.0,4.9433273122335475,0.18293709466435937,0.011128764263327482,0.12160031380400614,0.0,2.4145680118041685e-05,0.3944711480411622,0.21453843965373404,1.6830768983087564e-05,3.5863486233767895e-05,0.25170390419924293,0.0024675589596846043,1.1128764263327482,12.160031380400614,0.0,0.0024145680118041685,39.44711480411622,21.453843965373405,0.0016830768983087565,0.0035863486233767895,25.170390419924292,0.24675589596846043
dsd-adaptive-draft,kv-cache,smollm-local,200.0,5.63847526765118,0.160579755296206,0.009956465008300771,0.10570438134943617,0.0,2.1168843407854798e-05,0.46111756753046523,0.19123585975080645,1.4755762160973109e-05,3.66516833475104e-05,0.22605459713651618,0.002215081675500262,0.9956465008300771,10.570438134943618,0.0,0.00211688434078548,46.11175675304652,19.123585975080644,0.001475576216097311,0.0036651683347510397,22.60545971365162,0.2215081675500262
target-only,kv-cache,smollm-local,0.0,0.8975890961786112,1.0,0.03472518805712589,0.0,0.0,0.0,0.0,0.9538315708395181,0.0,0.0,0.00441718402884396,0.004567274253889533,3.472518805712589,0.0,0.0,0.0,0.0,95.38315708395182,0.0,0.0,0.44171840288439607,0.45672742538895333
target-only,kv-cache,smollm-local,5.0,0.8975890961786112,1.0,0.03472518805712589,0.0,0.0,0.0,0.0,0.9538315708395181,0.0,0.0,0.00441718402884396,0.004567274253889533,3.472518805712589,0.0,0.0,0.0,0.0,95.38315708395182,0.0,0.0,0.44171840288439607,0.45672742538895333
target-only,kv-cache,smollm-local,10.0,0.8975890961786112,1.0,0.03472518805712589,0.0,0.0,0.0,0.0,0.9538315708395181,0.0,0.0,0.00441718402884396,0.004567274253889533,3.472518805712589,0.0,0.0,0.0,0.0,95.38315708395182,0.0,0.0,0.44171840288439607,0.45672742538895333
target-only,kv-cache,smollm-local,20.0,0.8975890961786112,1.0,0.03472518805712589,0.0,0.0,0.0,0.0,0.9538315708395181,0.0,0.0,0.00441718402884396,0.004567274253889533,3.472518805712589,0.0,0.0,0.0,0.0,95.38315708395182,0.0,0.0,0.44171840288439607,0.45672742538895333
target-only,kv-cache,smollm-local,50.0,0.8975890961786112,1.0,0.03472518805712589,0.0,0.0,0.0,0.0,0.9538315708395181,0.0,0.0,0.00441718402884396,0.004567274253889533,3.472518805712589,0.0,0.0,0.0,0.0,95.38315708395182,0.0,0.0,0.44171840288439607,0.45672742538895333
target-only,kv-cache,smollm-local,100.0,0.8975890961786112,1.0,0.03472518805712589,0.0,0.0,0.0,0.0,0.9538315708395181,0.0,0.0,0.00441718402884396,0.004567274253889533,3.472518805712589,0.0,0.0,0.0,0.0,95.38315708395182,0.0,0.0,0.44171840288439607,0.45672742538895333
target-only,kv-cache,smollm-local,150.0,0.8975890961786112,1.0,0.03472518805712589,0.0,0.0,0.0,0.0,0.9538315708395181,0.0,0.0,0.00441718402884396,0.004567274253889533,3.472518805712589,0.0,0.0,0.0,0.0,95.38315708395182,0.0,0.0,0.44171840288439607,0.45672742538895333
target-only,kv-cache,smollm-local,200.0,0.8975890961786112,1.0,0.03472518805712589,0.0,0.0,0.0,0.0,0.9538315708395181,0.0,0.0,0.00441718402884396,0.004567274253889533,3.472518805712589,0.0,0.0,0.0,0.0,95.38315708395182,0.0,0.0,0.44171840288439607,0.45672742538895333
vanilla-spec,kv-cache,smollm-local,0.0,3.235548409074545,0.2806785508645893,0.016744861464388597,0.24797623449857717,0.0,4.371438226770827e-05,0.0,0.36870874810233684,2.3142908259381512e-05,2.752524831713422e-05,0.3582352210805597,0.003907951666046808,1.6744861464388596,24.797623449857717,0.0,0.004371438226770827,0.0,36.87087481023369,0.0023142908259381513,0.002752524831713422,35.82352210805597,0.3907951666046808
vanilla-spec,kv-cache,smollm-local,5.0,3.3131485202039284,0.2735451654416193,0.016335074719967018,0.24028067741608783,0.0,4.269050998995185e-05,0.01765692049217258,0.3622531530962086,2.26008582299809e-05,2.7833050145368065e-05,0.35459073302055266,0.004032399631615319,1.6335074719967018,24.028067741608783,0.0,0.004269050998995185,1.765692049217258,36.22531530962086,0.00226008582299809,0.0027833050145368065,35.459073302055266,0.4032399631615319
vanilla-spec,kv-cache,smollm-local,10.0,3.3993950907761854,0.2667569400189034,0.015764167957236952,0.23323462884350865,0.0,4.160740255927855e-05,0.03441788814647177,0.3556522551929655,2.2027448413741933e-05,3.2517416382525085e-05,0.3519440407635284,0.003942755128710141,1.5764167957236952,23.323462884350864,0.0,0.004160740255927855,3.441788814647177,35.56522551929655,0.0022027448413741934,0.0032517416382525084,35.19440407635284,0.3942755128710141
vanilla-spec,kv-cache,smollm-local,20.0,3.5846154015511273,0.25314095218535543,0.014853366993498183,0.22267554642069348,0.0,3.945751054318306e-05,0.06527896964866692,0.34648636963468843,2.0889270287573413e-05,5.586066780511693e-05,0.3416169549297567,0.004007551601629862,1.4853366993498183,22.26755464206935,0.0,0.003945751054318306,6.527896964866692,34.648636963468846,0.002088927028757341,0.005586066780511692,34.16169549297567,0.4007551601629862
vanilla-spec,kv-cache,smollm-local,50.0,3.8746071797485153,0.2343698405274493,0.014699537270548148,0.2074910583855897,0.0,3.6504345715154605e-05,0.15098304753514913,0.31065566432885583,1.932583008449908e-05,3.095650314012391e-05,0.3080014753844546,0.0035071882721613985,1.4699537270548149,20.74910583855897,0.0,0.0036504345715154605,15.098304753514913,31.065566432885582,0.0019325830084499082,0.003095650314012391,30.80014753844546,0.35071882721613984
vanilla-spec,kv-cache,smollm-local,100.0,4.484762159983317,0.20292856106195584,0.011971226533879881,0.17960542534270868,0.0,3.153790434239798e-05,0.26088339989123366,0.2694647677069366,1.6696537593038947e-05,3.0018059605727766e-05,0.27106953933775035,0.0029283248727034117,1.1971226533879882,17.960542534270868,0.0,0.003153790434239798,26.088339989123366,26.94647677069366,0.0016696537593038946,0.0030018059605727765,27.106953933775035,0.29283248727034117
vanilla-spec,kv-cache,smollm-local,150.0,5.068846382883688,0.17938180730172884,0.011276195940793632,0.1585803548837119,0.0,2.7903785065882027e-05,0.34623262719624437,0.24011531751226267,1.477259209370643e-05,3.177306896216477e-05,0.23744787431484807,0.0025710143191534384,1.1276195940793632,15.858035488371188,0.0,0.002790378506588203,34.623262719624435,24.01153175122627,0.0014772592093706429,0.003177306896216477,23.744787431484806,0.25710143191534385
vanilla-spec,kv-cache,smollm-local,200.0,5.713289935576419,0.15914152013417743,0.009758454195059395,0.14107271645927122,0.0,2.4756314066824964e-05,0.4095713724292055,0.21820076387814943,1.3106283917734571e-05,3.1152292113549586e-05,0.21554219886938383,0.0024502553429850797,0.9758454195059395,14.107271645927122,0.0,0.0024756314066824965,40.95713724292055,21.820076387814943,0.001310628391773457,0.0031152292113549584,21.554219886938384,0.24502553429850799
